id,region,sec_uid,unique_id,nickname,signature,avatar,verified,secret,aweme_count,following_count,follower_count,favoriting_count,total_favorited,ins_id,youtube_channel_title,youtube_channel_id,twitter_name,twitter_id,author_id
6678707086967702533,US,MS4wLjABAAAAQq0ATypfeRXMNRM94Nll_6281P1Dfk5OCpTYZgafc9BVOa0A4M_E6SgQnjDNx4S4,4ocean,"4ocean, PBC",We are a purpose-driven business on a mission to end the ocean plastic crisis.,https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/7332928420873961477~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,True,False,1748,193,3402767,1318,45279080,4ocean,4ocean,UCCT_-OGW5IiUuuHwmuyUPYQ,,,7054621718408954885
6977566663475627013,US,MS4wLjABAAAAJiggeiwYOQo0xMtD8328XFCwIf6FCMGpJmZdLMvGmOjTCJu0qn5lfSy2x4JwuRR1,juliafordcollier,JuliaFordCollier,"Loud laugher. 

Manhattan.",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/168ad066ed0ac79bce3e62bc0a36a1b1~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,43,124,1242,1357,4702,juliafordcollier,,,,,6724659169629340678
6581852972647776261,US,MS4wLjABAAAAvfuzLJw6lfit-2w4ySE08-hllfTMNbTwa4ta23bhA9INzXxxsSvDqJAnCqgzREtY,whatmakesbretttik,Brett Meiselas,Cofounder of @MeidasTouch,https://p16-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/185c5d1f1ef4c45f8965fe6e4a24ba29~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,120,176,328024,1919,1638812,bmeiselas,,,,,6724659169629340678
6747001370630915078,US,MS4wLjABAAAAagD-_MQpo-FB2qTcT_05N6DvO6bRFqxIsQ4TyDg2RE1ugeBr2E5xg27h91MlaRS5,brianjordanalvarez,Brian Jordan Alvarez,Bellissimo,https://p16-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/25bdcf42489e2352998c5936c24bfae8~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,2407,2328,944207,38539,44113638,brianjordanalvarez,Brian Jordan Alvarez,UC0bBXn_fmXlleQAdRH6wHQw,,,6724659169629340678
7108440138707747886,US,MS4wLjABAAAA6hfj9enhjK5gV_vWMI3eJ2mUF0Zdg5KRUnGtAgG_lAjtMc-CK3I3DsoPrns5yYIO,loveandlaughterpenny,LoveandLaughterPenny,I was diagnosed with ALS in December 2021.,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7343921842622562346~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,23,926,322,3793,1341,,,,,,6724659169629340678
6712592738631762950,US,MS4wLjABAAAAMz1DkaAAAGl23gLUQfEMgd5rLdoFIU1vkq5llyAShl_ZwKkLAM2oP_egoYg02pfF,emerald_octobers3737,Zaddy,"Gatekeep, gaslight, girlboss",https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ddb75b231ef2cf9dd7cc4a5f6a898dce~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,544,74,44302,0,,,,,,6724659169629340678
6668020376168431622,US,MS4wLjABAAAANxHCyLeTbcmA0oFfa8C_iODJ0ctxD6c3XwV8kT4kWnNAVYCpOCEjOSeY8rMI8JKP,mcbone,mcbone,,https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/7325851713112375301~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,15,2148,153,44165,664,,,,,,6724659169629340678
6638019241584410630,US,MS4wLjABAAAARkQZavgewCeXdQHwu59jDRYbBAkMGgqnJ0_5cPnB6R1V3p25QHyyGMN-SidFk4qx,lizplank,liz,"award-losing journalist  

🌈 subscribe to my substack!",https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/b9b755ecd11dd9663e7e4bf30b17dcc9~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1333,647,336250,5350,21134577,feministabulous,Liz Plank,UCTCt5i0TEvMeHBINRcl2_ug,,,6724659169629340678
6713323898454688774,US,MS4wLjABAAAAFAsfvOld49xBIvDPvOwgUvmcsXS5jGw7C04cPt7BivZPOvYgiZ9bY3Z2qmuOshGg,michaelrapaport,michaelrapaport,No bio yet,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7310053342258937902~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1571,694,4520270,8771,117024702,michaelrapaport,Michael Rapaport,UC4n4JDkCGWV76BkZ6LvnHMg,,,6724659169629340678
6651232890833567750,US,MS4wLjABAAAAuvwXjV_f3j0XRJq63ecO_Lsyfser0l5PVpjv-vJ3WIziPyZ4zvUTxzmCr9FZdgSa,ethankleinh3,Ethan Klein,,https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/7327572234850500614~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,390,466,1748106,11171,72419504,h3h3productions,,,,,6724659169629340678
